2022年,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
1,沃尔玛（WALMART),572754,13673,美国
2,亚马逊（AMAZON.COM),469822,33364,美国
3,国家电网有限公司（STATE GRID),460616,7137,中国
4,中国石油天然气集团有限公司（CHINA NATIONAL PETROLEUM),411692,9637,中国
5,中国石油化工集团有限公司（SINOPEC GROUP),401313,8316,中国
6,沙特阿美公司（SAUDI ARAMCO),400399,105369,沙特阿拉伯
7,苹果公司（APPLE),365817,94680,美国
8,大众公司（VOLKSWAGEN),295819,18186,德国
9,中国建筑集团有限公司（CHINA STATE CONSTRUCTION ENGINEERING),293712,4443,中国
10,CVS Health公司（CVS HEALTH),292111,7910,美国
11,联合健康集团（UNITEDHEALTH GROUP),287597,17285,美国
12,埃克森美孚（EXXON MOBIL),285640,23040,美国
13,丰田汽车公司（TOYOTA MOTOR),279337,25371,日本
14,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),276094,89795,美国
15,壳牌公司（SHELL),272657,20101,英国
16,麦克森公司（MCKESSON),263966,1114,美国
17,Alphabet公司（ALPHABET),257637,76033,美国
18,三星电子（SAMSUNG ELECTRONICS),244334,34293,韩国
19,托克集团（TRAFIGURA GROUP),231308,3100,新加坡
20,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),214619,4988,中国
21,美源伯根公司（AMERISOURCEBERGEN),213988,1539,美国
22,中国工商银行股份有限公司（INDUSTRIAL & COMMERCIAL BANK OF CHINA),209000,54003,中国
23,嘉能可（GLENCORE),203751,4974,瑞士
24,中国建设银行股份有限公司（CHINA CONSTRUCTION BANK),200434,46898,中国
25,中国平安保险（集团）股份有限公司（PING AN INSURANCE),199629,15753,中国
26,开市客（COSTCO WHOLESALE),195929,5007,美国
27,道达尔能源公司（TOTALENERGIES),184634,16032,法国
28,中国农业银行股份有限公司（AGRICULTURAL BANK OF CHINA),181411,37390,中国
29,Stellantis集团（STELLANTIS),176663,16789,荷兰
30,信诺（CIGNA),174078,5365,美国
31,中国中化控股有限责任公司（SINOCHEM HOLDINGS),172260,-197,中国
32,美国电话电报公司（AT&T),168864,20081,美国
33,微软（MICROSOFT),168088,61271,美国
34,中国铁路工程集团有限公司（CHINA RAILWAY ENGINEERING GROUP),166452,1853,中国
35,英国石油公司（BP),164195,7565,英国
36,嘉德诺（CARDINAL HEALTH),162467,611,美国
37,雪佛龙（CHEVRON),162465,15625,美国
38,梅赛德斯-奔驰集团（MERCEDES-BENZ GROUP),158306,27200,德国
39,中国铁道建筑集团有限公司（CHINA RAILWAY CONSTRUCTION),158203,1703,中国
40,中国人寿保险（集团）公司（CHINA LIFE INSURANCE),157095,3087,中国
41,三菱商事株式会社（MITSUBISHI),153690,8345,日本
42,中国银行股份有限公司（BANK OF CHINA),152409,33573,中国
43,家得宝（HOME DEPOT),151157,16433,美国
44,中国宝武钢铁集团有限公司（CHINA BAOWU STEEL GROUP),150730,2994,中国
45,沃博联（WALGREENS BOOTS ALLIANCE),148579,2542,美国
